tfm_id,tfm_desc,site_desc,longitude,latitude,tfm_typ_de,movement_t,declared_r,local_road,aadt_all_vehicles,aadt_truck,percent_trucks,last_year
38240,GOULBURN VALLEY HWY S BD 400M NORTH HEATHCOTE-NAGAMBIE RD @121.6KM FROM MELBOURN,GOULBURN VALLEY HWY 400M NORTH HEATHCOTE-NAGAMBIE RD @121.6KM FROM MELBOURN,145.15200107312728,-36.79211199568664,MIDBLOCK,All Moves,NAGAMBIE MAIN ROAD,HIGH STREET,0,0,0.0,0
45221,SUNSET BOULEVARD R W of PASCOE VALE RD,PASCOE VALE RD & SUNSET BOULEVARD,144.91492060185593,-37.69102568536325,INTERSECTION,All Moves,Missing Data,SUNSET BOULEVARD,3100,70,0.02,1993
41915,MARYBOROUGH AV S BD S OF DUNNE ST,MARYBOROUGH AV S OF DUNNE ST,145.03796537330666,-37.71546958847482,UNDEFINED,All Moves,Missing Data,MARYBOROUGH AVENUE,680,0,0.0,1987
46829,PRINCES HWY EAST E BD 250M E OF NAMBROCK RD @192.2KM FROM MELBOURNE,PRINCES HWY EAST 250M E OF NAMBROCK RD @192.2KM FROM MELBOURNE,146.821988979038,-38.131470441734365,MIDBLOCK,All Moves,PRINCES HIGHWAY EAST,PRINCES HIGHWAY,2200,390,0.17,1993
51487,GREEN GULLY RD S of OLD CALDER HWY,GREEN GULLY RD & OLD CALDER HWY,144.82830802785952,-37.71651429785656,INTERSECTION,All Moves,KEILOR-LAVERTON ROAD,GREEN GULLY ROAD,10000,270,0.03,1997
52927,FORSTER ST 2WAY E OF EDWIN ST,FORSTER ST 2WAY E OF EDWIN ST,145.05038222708092,-37.7543497627955,UNDEFINED,All Moves,Missing Data,FORSTER STREET,480,0,0.0,1990
38552,WOODLAND ST E of NAPIER ST,NAPIER ST & WOODLAND ST,144.91834360013547,-37.74241268949402,INTERSECTION,All Moves,WOODLAND STREET,WOODLAND STREET,3300,0,0.0,1989
39842,MAROONDAH HWY W of ANDERSON ST,ANDERSON ST & MAROONDAH HWY,145.3540809020405,-37.757523404328595,INTERSECTION,All Moves,MAROONDAH HIGHWAY,MAIN STREET,11000,0,0.0,1995
42448,GLENHUNTLY RD W BD E OF MARINE PDE,GLENHUNTLY RD E OF MARINE PDE,144.97884321281026,-37.88181082423478,UNDEFINED,All Moves,GLENHUNTLY ROAD,GLEN HUNTLY ROAD,5400,0,0.0,1988
44146,PUNT RD S BD N OF BRUNTON AVE,PUNT RD N OF BRUNTON AVE,144.98909700860264,-37.823119396527005,UNDEFINED,All Moves,HODDLE HIGHWAY,PUNT ROAD,30000,0,0.0,1990
52010,TOORAK RD W of GLENFERRIE RD,GLENFERRIE RD & TOORAK RD,145.03095410232734,-37.84371791721032,INTERSECTION,All Moves,TOORAK ROAD,TOORAK ROAD,13000,540,0.04,1994
46066,GOULBURN VALLEY HWY SWBD AT PRETTY JOHN RD CULDESAC,GOULBURN VALLEY HWY AT PRETTY JOHN RD CULDESAC,145.24033812311123,-36.645420301257474,INTERSECTION,All Moves,WAHRING-MURCHISON EAST ROAD,WAHRING-MURCHISON EAST ROAD,2500,680,0.27,2013
40108,CALDER HWY S BD 200M SOUTH CARLSRUHE-LANCEFIELD RD @ 78.0KM POST,CALDER HWY 200M SOUTH CARLSRUHE-LANCEFIELD RD @ 78.0KM FROM MELBOURNE,144.4981032913134,-37.288496597894685,MIDBLOCK,All Moves,CALDER FREEWAY,CALDER FREEWAY,3800,570,0.15,1992
50420,OLD_CAPE_SCHANK RD 2WAY S OF JETTY RD,OLD_CAPE_SCHANK RD 2WAY S OF JETTY RD,144.90741296081436,-38.381595487330685,UNDEFINED,All Moves,Missing Data,OLD CAPE SCHANCK ROAD,2900,0,0.0,1990
52459,BALCOMBE RD EB BTWN MUNDY AND PLUMMER,BALCOMBE RD BTWN MUNDY AND PLUMMER,145.0576257975672,-37.98038780363508,MIDBLOCK,All Moves,BALCOMBE ROAD,BALCOMBE ROAD,8400,460,0.06,1991
43706,SKYE RD E of FRANKSTON DANDENON,FRANKSTON DANDENON & SKYE RD,145.13611661293083,-38.13132997781076,INTERSECTION,All Moves,Missing Data,SKYE ROAD,660,0,0.0,1994
44045,DALTON RD NB BTW SPENCER ST & PARKLANDS DR,DALTON RD BTW SPENCER ST & PARKLANDS DR,145.0291384759155,-37.68484930179778,MIDBLOCK,All Moves,DALTON ROAD,DALTON ROAD,20000,1300,0.07,1997
43680,LONSDALE ST S of CLOW ST,CLOW ST & LONSDALE ST & PRINCES HWY,145.21435999996368,-37.98779420068751,INTERSECTION,All Moves,PRINCES HIGHWAY EAST,LONSDALE STREET,0,0,0.0,0
45434,WESTERN HWY 3 (220.2KM) SEBD SE OF BRIGGS LANE(GREAT WESTERN),WESTERN HWY 3 (220.2KM) SSE OF BRIGGS LANE(GREAT WESTERN),142.83247742572706,-37.137086980816385,MIDBLOCK,All Moves,WESTERN HIGHWAY,WESTERN HIGHWAY,1700,460,0.26,1992
46839,WESTERN FWY (71.9KM)110KPH AFTER STUDY W BD W OF PYKES CREEK,WESTERN FWY (71.9KM)110KPH AFTER STUDY W OF PYKES CREEK,144.26867252509604,-37.59949854787787,MIDBLOCK,All Moves,Missing Data,MACKAY LANE,5000,1200,0.24,1992
49389,NEPEAN HWY NW OF SHOPPING CENTRE ACCESS,NEPEAN HWY/SHOPPING CENTRE ACCESS,145.07617842749875,-37.98422679259264,APPROACH,All Moves,NEPEAN HIGHWAY,NEPEAN HIGHWAY,31000,0,0.0,2016
38950,S.E.ARTERIAL THRU MVMNT TO S.E.ARTERIAL OD:13,S.E.ARTERIAL LEFT TURN TO WEIR ST OD:12,145.04577404742474,-37.84869199180575,UNDEFINED,Incomplete Through,MONASH FREEWAY,MONASH FREEWAY,0,0,0.0,0
42111,EASTBOURNE RD W BD E OF JETTY RD,EASTBOURNE RD E OF JETTY RD,144.9107155041932,-38.36799685470549,UNDEFINED,All Moves,Missing Data,EASTBOURNE ROAD,210,0,0.0,1991
42440,NEPEAN HWY W BD W OF MORNINGTON-PENINSULA FWY,NEPEAN HWY W OF MORNINGTON-PENINSULA FWY,144.98899900761063,-38.329935639248745,UNDEFINED,All Moves,BITTERN-DROMANA ROAD,NEPEAN HIGHWAY,0,0,0.0,0
44390,SMITH ST S of ALEXANDRA PDE,ALEXANDRA PDE & SMITH ST,144.9850626884684,-37.79436310297062,INTERSECTION,All Moves,Missing Data,SMITH STREET,6900,330,0.05,1994
45260,TOORAK RD W of SUMMERHILL RD,SUMMERHILL RD & TOORAK RD,145.07667409575694,-37.848230414570146,INTERSECTION,All Moves,BURWOOD HIGHWAY,TOORAK ROAD,16000,600,0.04,1996
51180,CALDER HWY S BD 200M S OF ASHBOURNE RD WOODEND @ 69.2KM POST,CALDER HWY 200M S OF ASHBOURNE RD WOODEND @ 69.2KM FROM MELBOURNE,144.5274161059417,-37.36219799527744,MIDBLOCK,All Moves,MACEDON-WOODEND ROAD,BLACK FOREST DRIVE,0,0,0.0,0
53005,PRINCES HWY WEST W BD 400M E OF PORTLAND-CASTERTON RD @382.5KM FROM MELBOURNE,PRINCES HWY WEST 400M E OF PORTLAND-CASTERTON RD @382.5KM FROM MELBOURNE,141.59628747162927,-38.090796951727086,MIDBLOCK,All Moves,PRINCES HIGHWAY WEST,PRINCES HIGHWAY,520,150,0.29,1997
39915,RATHDOWNE ST S OF QUEENSBERRY ST,RATHDOWNE ST/QUEENSBERRY ST,144.96916820860454,-37.80540489962982,INTERSECTION,All Moves,Missing Data,RATHDOWNE STREET,14000,0,0.0,1997
44150,FAIRBAIRN RD S BD S OF SOMERVILLE RD,FAIRBAIRN RD S OF SOMERVILLE RD,144.81866530657086,-37.806194199091244,INTERSECTION,All Moves,FAIRBAIRN ROAD,FAIRBAIRN ROAD,10000,0,0.0,1997
46623,BARRY RD W OF MAFFRA ST,BARRY RD/KING ST/MAFFRA ST,144.941900614462,-37.66597205533854,INTERSECTION,All Moves,BARRY ROAD,BARRY ROAD,11000,0,0.0,2002
50809,EASTERN FWY WBD RAMP W of HODDLE ST,EASTERN FWY & HODDLE ST,144.9935763763852,-37.79619430145771,INTERSECTION,On Ramp,HODDLE HIGHWAY,HODDLE STREET,0,0,0.0,0
42109,PARK ST W BD W OF CLARK ST,PARK ST W OF CLARK ST,145.0222252086168,-37.957810428087846,UNDEFINED,All Moves,Missing Data,PARK AVENUE,190,0,0.0,1988
54115,YARRA RD NW OF MAROONDAH HWY,MAROONDAH HWY/YARRA RD,145.27730852801628,-37.78548185883297,INTERSECTION,Left Missing,CROYDON-WARRANDYTE ROAD,YARRA ROAD,5100,0,0.0,1999
51303,MAROONDAH HWY SW of RINGWOOD ST,MAROONDAH HWY & RINGWOOD ST & WANTIRNA RD,145.2280962716606,-37.81550105686291,INTERSECTION,All Moves,MAROONDAH HIGHWAY,MAROONDAH HIGHWAY,24000,0,0.0,1990
42084,SWANSTON ST S OF QUEENSBERRY ST,SWANSTON ST/QUEENSBERRY ST,144.96322993720577,-37.80473300317007,INTERSECTION,All Moves,Missing Data,SWANSTON STREET,4800,0,0.0,2009
41932,WILLIAM ST W BD W OF QUEENSBRIDGE ST,WILLIAM ST W OF QUEENSBRIDGE ST,144.9605946892366,-37.82010588863771,UNDEFINED,All Moves,Missing Data,WILLIAM STREET,17000,0,0.0,1992
