Model,from_site,to_site,road_name,distance_km,predicted_flow,speed_kmh,travel_time
CNN,4043,4273,TOORAK_RD,0.7038,2084.5700171179806,32.0,1.819625
GRU,4043,4273,TOORAK_RD,0.7038,2112.5005954174285,32.0,1.819625
LSTM,4043,4273,TOORAK_RD,0.7038,2110.376494219858,32.0,1.819625
CNN,4043,2000,TOORAK_RD,3.6353,2084.5700171179806,32.0,7.3161875
GRU,4043,2000,TOORAK_RD,3.6353,2112.5005954174285,32.0,7.3161875
LSTM,4043,2000,TOORAK_RD,3.6353,2110.376494219858,32.0,7.3161875
CNN,2000,4043,TOORAK_RD,3.6353,2383.516414642334,32.0,7.3161875
GRU,2000,4043,TOORAK_RD,3.6353,2410.838032878037,32.0,7.3161875
LSTM,2000,4043,TOORAK_RD,3.6353,2413.0975145531916,32.0,7.3161875
CNN,4273,4272,TOORONGA_RD,1.6094,938.2511012571077,51.58283044425604,2.372018250420626
GRU,4273,4272,TOORONGA_RD,1.6094,960.4666017843476,51.191703064481246,2.386321302465121
LSTM,4273,4272,TOORONGA_RD,1.6094,982.689129929078,50.79230925942177,2.401153962242576
CNN,4272,4273,TOORONGA_RD,1.6094,1048.3159789768517,49.55988681678982,2.448430599871471
GRU,4272,4273,TOORONGA_RD,1.6094,1077.0445446257895,48.992280331632784,2.4710043979653595
LSTM,4272,4273,TOORONGA_RD,1.6094,1101.6933810496453,48.489713516920446,2.4914326770832345
CNN,3812,3804,TRAFALGAR_RD,0.4663,1481.941953537312,35.51107197095061,1.2878669509860772
GRU,3812,3804,TRAFALGAR_RD,0.4663,1504.1427063367046,32.0,1.3743124999999998
LSTM,3812,3804,TRAFALGAR_RD,0.4663,1524.8743738723404,32.0,1.3743124999999998
CNN,3804,3812,TRAFALGAR_RD,0.4663,1561.462717313293,32.0,1.3743124999999998
GRU,3804,3812,TRAFALGAR_RD,0.4663,1598.4958676006777,32.0,1.3743124999999998
LSTM,3804,3812,TRAFALGAR_RD,0.4663,1603.8990252269505,32.0,1.3743124999999998
CNN,970,3685,WARRIGAL_RD,1.3885,2270.4145252687713,32.0,3.1034375
GRU,970,3685,WARRIGAL_RD,1.3885,2284.175528046087,32.0,3.1034375
LSTM,970,3685,WARRIGAL_RD,1.3885,2288.542286326241,32.0,3.1034375
CNN,3685,970,WARRIGAL_RD,1.3885,1073.7037357032723,49.05925701078156,2.1981504628513084
GRU,3685,970,WARRIGAL_RD,1.3885,1099.0801516593772,48.54371833860812,2.2161849741069655
LSTM,3685,970,WARRIGAL_RD,1.3885,1124.4155957943262,48.01246243621116,2.235174489554348
CNN,3685,2000,WARRIGAL_RD,0.3351,1073.7037357032723,49.05925701078156,0.9098309111281768
GRU,3685,2000,WARRIGAL_RD,0.3351,1099.0801516593772,48.54371833860812,0.9141833524114109
LSTM,3685,2000,WARRIGAL_RD,0.3351,1124.4155957943262,48.01246243621116,0.9187662740004767
CNN,2000,3685,WARRIGAL_RD,0.3351,2383.516414642334,32.0,1.1283125
GRU,2000,3685,WARRIGAL_RD,0.3351,2410.838032878037,32.0,1.1283125
LSTM,2000,3685,WARRIGAL_RD,0.3351,2413.0975145531916,32.0,1.1283125
CNN,2000,3682,WARRIGAL_RD,1.6546,2383.516414642334,32.0,3.6023750000000003
GRU,2000,3682,WARRIGAL_RD,1.6546,2410.838032878037,32.0,3.6023750000000003
LSTM,2000,3682,WARRIGAL_RD,1.6546,2413.0975145531916,32.0,3.6023750000000003
CNN,3682,2000,WARRIGAL_RD,1.6546,1587.9323473991233,32.0,3.6023750000000003
GRU,3682,2000,WARRIGAL_RD,1.6546,1624.936791819038,32.0,3.6023750000000003
LSTM,3682,2000,WARRIGAL_RD,1.6546,1629.9125021631205,32.0,3.6023750000000003
CNN,3682,3126,WARRIGAL_RD,1.0005,1587.9323473991233,32.0,2.3759375
GRU,3682,3126,WARRIGAL_RD,1.0005,1624.936791819038,32.0,2.3759375
LSTM,3682,3126,WARRIGAL_RD,1.0005,1629.9125021631205,32.0,2.3759375
CNN,3126,3682,WARRIGAL_RD,1.0005,1663.3426744176986,32.0,2.3759375
GRU,3126,3682,WARRIGAL_RD,1.0005,1683.5497658912172,32.0,2.3759375
LSTM,3126,3682,WARRIGAL_RD,1.0005,1685.5210411702128,32.0,2.3759375
CNN,4034,4063,WHITEHORSE_RD,1.8329,1820.369131237057,32.0,3.9366875
GRU,4034,4063,WHITEHORSE_RD,1.8329,1839.9530523584244,32.0,3.9366875
LSTM,4034,4063,WHITEHORSE_RD,1.8329,1840.2368126170213,32.0,3.9366875
CNN,4063,4034,WHITEHORSE_RD,1.8329,1369.2412717021105,41.44799582899424,3.153300788142561
GRU,4063,4034,WHITEHORSE_RD,1.8329,1405.2279426899363,40.04348956964596,3.2463640452395346
LSTM,4063,4034,WHITEHORSE_RD,1.8329,1414.2946051631207,39.649066361893,3.273684479634981
